"Fusions"	"Cancer_Types"	"DB"	"Jackson"	"Fusion"	"Cosmic"	"ChiTaRS"	"TICdb"	"ConjoinG"	"Count"
"AARS--ABR"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARS--COG4"	"BRCA,BRCA"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"AARS--GPX3"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARS--HYDIN"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARS--ITPR3"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARS--LHFP"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARS--ST3GAL2"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AARS2--SPATS1"	"ACC,ACC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AARSD1--CCR7"	"PRAD,PRAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AARSD1--DIABLO"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARSD1--FBXL20"	"BLCA,BLCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AARSD1--RGS9"	"CESC,CESC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AASDH--AASDH"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AASDH--IRF3"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AASDH--KIAA1211"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AASDH--LRRC66"	"GBM,GBM"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AASS--DNM3"	"SARC,SARC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AATF--AATF"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AATF--BCLAF1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AATF--GABRR2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AATF--MPO"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AATF--SNAP25-AS1"	"LUAD"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABAT--C16orf62"	"BRCA,BRCA"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ABAT--KIAA0430"	"LGG,LGG"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABAT--PSMD12"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA1--EIF4E"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA1--HDHD3"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCA1--HNRNPK"	"LUAD"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCA1--KCNMA1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA1--LAS1L"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA1--NDUFB2"	"HNSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA1--ZBTB26"	"LUSC,LUSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCA1--ZBTB6"	"LUSC,LUSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCA11P--CRLS1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA11P--UBXN4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA13--ABCA13"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA13--BLVRA"	"LUSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA13--VEPH1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA2--ATP2B2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA2--CHMP1A"	"LGG"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCA2--HIRA"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA2--SYAP1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA2--TRIM14"	"LGG,LGG"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ABCA3--ABCA3"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCA4--MMACHC"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA5--APOL3"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA5--BCAS3"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCA5--CENPP"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA5--MBTD1"	"CESC,CESC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCA5--WDR55"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA6--LMNA"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA7--ABCA7"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA7--ZNF317"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA8--HMGCS1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCB4--ABCB1"	"SARC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCB6--ABCB6"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCB8--ABCB8"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCB8--NOS3"	"LUAD,BRCA"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"5"
"ABCB9--MPHOSPH9"	"HNSC,HNSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC1--ABCC1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC1--FAM105A"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC1--LSP1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC1--PRKCB"	"PRAD,PRAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC10--CUL9"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC10--MAN2A2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC10--PGBD5"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC10--PPP2R5D"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC3--ABCC3"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC3--AC217773.1"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC3--BCAN"	"KIRC,KIRC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC3--DLGAP2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC4--ABCB4"	"HNSC,HNSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC4--ABCC4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC4--CCDC169"	"PRAD"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC4--COL4A2"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC4--SCEL"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC5--ATN1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC5--TGFBI"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC5--TSPAN14"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC6--C16orf70"	"LAML,LAML"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC6--SEMA4G"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC8--ABCC8"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC8--CAPRIN1"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC9--PPAN-P2RY11"	"SARC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCD3--AK5"	"LUSC,LUSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCD3--ARHGAP29"	"BLCA,BLCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCD3--EXOC4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCD3--GNB2L1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCD4--ACTN4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCD4--PRKCE"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCE1--DDX39B"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCE1--LOC100505666"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCE1--ZNF827"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCF1--ABCF1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCF1--LOC283624"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCF1--MGAT4A"	"STAD"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD12--ENTPD6"	"LUSC,LUSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABHD12--MEG3"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD12--PPP2R2A"	"COAD,COAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABHD12--RAD21"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD12B--KIFC1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD14B--APLP1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD14B--CHST5"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD14B--COL7A1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD14B--POC1A"	"BRCA,BRCA"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ABHD16A--ABCD4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD17A--ABHD17A"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD17B--ABHD17B"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD17C--PTOV1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD2--ABHD2"	"NA"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"ABHD2--BIRC6"	"BLCA,BLCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABHD2--NFX1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD2--VAPA"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD4--TSPYL2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD6--ABHD6"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD6--FLNB"	"KIRC,KIRC"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"4"
"ABHD6--KLHL24"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD6--LOC100507412"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABI1--BIN2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABI1--CLMN"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABI1--YME1L1"	"UVM"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"ABI2--GOLGA4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABL1--ADAMTSL2"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABL1--APBA1"	"ESCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABL1--BCR"	"LAML,LAML"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"14"
"ABL1--CCBL1"	"LUSC,LUSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABL1--DDX27"	"BLCA,BLCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABL1--EXOSC2"	"HNSC,HNSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABL1--NRXN2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABL1--NTRK2"	"ESCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABL1--NUP214"	"CESC"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"5"
"ABL1--RNF220"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABL2--ABL2"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ABL2--COPG1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABLIM1--ABLIM1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABLIM1--AMBRA1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABLIM1--MAPRE1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABLIM1--PTCD2"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABLIM1--WBP2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABLIM2--PPP2R2C"	"BLCA,BLCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABLIM3--ALB"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABLIM3--CDK14"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABP1--ABP1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABP1--COL4A2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABP1--KIAA1549L"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABR--ABR"	"NA"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"ABR--CRK"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABR--GAS7"	"LUSC,LUSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABR--KIAA0664"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABR--MAN2B1"	"LGG,LGG"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABR--PITPNA"	"BRCA,TGCT"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"3"
"ABR--YWHAE"	"LGG,LGG"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ABTB2--APIP"	"BRCA,BRCA"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"3"
"ABTB2--ATXN3"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABTB2--CIR1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABTB2--LMO2"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABTB2--QRICH1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABTB2--TYR"	"BRCA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AC003682.1--CXCL17"	"GBM"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC006465.3--C1GALT1"	"LUAD"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC006465.3--MRAP"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC008537.4--ITPKC"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC008745.1--EHD2"	"HNSC"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AC010859.1--COL14A1"	"LUSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC010859.1--OC90"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC011357.1--CCT3"	"GBM"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC011443.1--SOX5"	"OV"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC011450.1--GLIS3"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC011997.1--LRRC69"	"BRCA"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"42"
"AC013461.1--RAPGEF4"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC020907.3--LGI4"	"SKCM"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC020907.3--PMEL"	"SKCM"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC022415.5--KEAP1"	"GBM"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC040934.1--ARHGAP23"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC091153.1--CHRNE"	"LUSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC093799.1--LRRC23"	"LUAD"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC103810.1--STXBP4"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC110285.1--BAIAP2"	"BRCA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AC110491.1--ARL6"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC113191.1--NKAIN3"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC135352.1--GATA4"	"LUSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC135352.2--GATA4"	"LUSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAA1--ACAA1"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ACAA2--LOC100505989"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAA2--MYO5B"	"ESCA,ESCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACAA2--SMG1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACA--ACCN1"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACACA--C17orf78"	"ESCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACA--C20orf72"	"THCA,THCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACACA--ERBB2"	"HNSC"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ACACA--KRT33A"	"LUSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACA--LASP1"	"ESCA,ESCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACACA--PRKCA"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACA--PRKDC"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACA--SRCIN1"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACACA--STAC2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACA--TADA2A"	"BLCA,BLCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACACB--ACACB"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACB--CTDSP1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACB--UNG"	"BRCA,BRCA"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"8"
"ACAD10--ACAD10"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAD11--CBFA2T2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAD9--KIAA1257"	"LGG,LGG"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACADL--MAML2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACADVL--ACADVL"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACADVL--DLG4"	"LGG"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ACAN--ACAN"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAP2--APOD"	"OV,OV"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACAP2--IQCG"	"HNSC,HNSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACAP2--QKI"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAP3--CPSF3L"	"LUSC,OV"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"4"
"ACAT1--VPRBP"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAT2--ACAT2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD3--BOLA2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD3--PARP1"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD4--TNFAIP8"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD5--SH3BP4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD6--IVNS1ABP"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACBD6--PGBD2"	"BRCA,BRCA"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ACBD6--TCOF1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD6--WDR91"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD6--XPR1"	"LGG"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACE2--CIRH1A"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACER1--MLL"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACER2--C8orf37"	"PRAD,PRAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACER2--CSH1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACER3--ACER3"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACER3--FCHSD2"	"ESCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACER3--NARS2"	"BRCA,BRCA"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"5"
"ACER3--NRL"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
